Dex_Number,Name,Type,Generation,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Total,Cluster,Archetype
76,Golem  Alolan Golem,Rock  Electric,1,80,120,130,55,65,45,495,4,Physical Wall
78,Rapidash,Fire,1,65,100,70,80,80,105,500,1,Below Average
78,Rapidash  Galarian Rapidash,Psychic  Fairy,1,65,100,70,80,80,105,500,1,Below Average
80,Slowbro,Water  Psychic,1,95,75,110,100,80,30,490,0,HP Tank
80,Slowbro  Galarian Slowbro,Poison  Psychic,1,95,100,95,100,70,30,490,0,HP Tank
83,Farfetch'd,Normal  Flying,1,52,90,55,58,62,60,377,1,Below Average
83,Farfetch'd  Galarian Farfetch'd,Fighting,1,52,95,55,58,62,55,377,1,Below Average
85,Dodrio,Normal  Flying,1,60,110,70,60,60,110,470,1,Below Average
87,Dewgong,Water  Ice,1,90,70,80,70,95,70,475,3,Sp. Fighter
89,Muk,Poison,1,105,105,75,65,100,50,500,0,HP Tank
89,Muk  Alolan Muk,Poison  Dark,1,105,105,75,65,100,50,500,0,HP Tank
91,Cloyster,Water  Ice,1,50,95,180,85,45,70,525,4,Physical Wall
94,Gengar,Ghost  Poison,1,60,65,60,130,75,110,500,1,Below Average
97,Hypno,Psychic,1,85,73,70,73,115,67,483,3,Sp. Fighter
99,Kingler,Water,1,55,130,115,50,50,75,475,4,Physical Wall
101,Electrode,Electric,1,60,50,70,80,80,150,490,1,Below Average
101,Electrode  Hisuian Electrode,Electric  Grass,1,60,50,70,80,80,150,490,1,Below Average
103,Exeggutor,Grass  Psychic,1,95,95,85,125,75,55,530,0,HP Tank
103,Exeggutor  Alolan Exeggutor,Grass  Dragon,1,95,105,85,125,75,45,530,0,HP Tank
105,Marowak,Ground,1,60,80,110,50,80,45,425,4,Physical Wall
105,Marowak  Alolan Marowak,Fire  Ghost,1,60,80,110,50,80,45,425,4,Physical Wall
106,Hitmonlee,Fighting,1,50,120,53,35,110,87,455,1,Below Average
107,Hitmonchan,Fighting,1,50,105,79,35,110,76,455,4,Physical Wall
110,Weezing,Poison,1,65,90,120,85,70,60,490,4,Physical Wall
110,Weezing  Galarian Weezing,Poison  Fairy,1,65,90,120,85,70,60,490,4,Physical Wall
115,Kangaskhan,Normal,1,105,95,80,40,80,90,490,4,Physical Wall
119,Seaking,Water,1,80,92,65,65,80,68,450,1,Below Average
121,Starmie,Water  Psychic,1,60,75,85,100,85,115,520,1,Below Average
122,Mr. Mime,Psychic  Fairy,1,40,45,65,100,120,90,460,3,Sp. Fighter
122,Mr. Mime  Galarian Mr. Mime,Ice  Psychic,1,50,65,65,90,90,100,460,1,Below Average
124,Jynx,Ice  Psychic,1,65,50,35,115,95,95,455,1,Below Average
127,Pinsir,Bug,1,65,125,100,55,70,85,500,4,Physical Wall
128,Tauros,Normal,1,75,100,95,40,70,110,490,4,Physical Wall
128,Tauros  Combat Breed,Fighting,1,75,110,105,30,70,100,490,4,Physical Wall
128,Tauros  Blaze Breed,Fighting  Fire,1,75,110,105,30,70,100,490,4,Physical Wall
128,Tauros  Aqua Breed,Fighting  Water,1,75,110,105,30,70,100,490,4,Physical Wall
130,Gyarados,Water  Flying,1,95,125,79,60,100,81,540,4,Physical Wall
131,Lapras,Water  Ice,1,130,85,80,85,95,60,535,0,HP Tank
132,Ditto,Normal,1,48,48,48,48,48,48,288,1,Below Average
133,Eevee,Normal,1,55,55,50,45,65,55,325,1,Below Average
134,Vaporeon,Water,1,130,65,60,110,95,65,525,0,HP Tank
135,Jolteon,Electric,1,65,65,60,110,95,130,525,1,Below Average
136,Flareon,Fire,1,65,130,60,95,110,65,525,2,All-Rounder
139,Omastar,Rock  Water,1,70,60,125,115,70,55,495,3,Sp. Fighter
141,Kabutops,Rock  Water,1,60,115,105,65,70,80,495,4,Physical Wall
142,Aerodactyl,Rock  Flying,1,80,105,65,60,75,130,515,1,Below Average
143,Snorlax,Normal,1,160,110,65,65,110,30,540,0,HP Tank
144,Articuno,Ice  Flying,1,90,85,100,95,125,85,580,3,Sp. Fighter
144,Articuno  Galarian Articuno,Psychic  Flying,1,90,85,85,125,100,95,580,2,All-Rounder
145,Zapdos,Electric  Flying,1,90,90,85,125,90,100,580,2,All-Rounder
145,Zapdos  Galarian Zapdos,Fighting  Flying,1,90,125,90,85,90,100,580,2,All-Rounder
146,Moltres,Fire  Flying,1,90,100,90,125,85,90,580,2,All-Rounder
146,Moltres  Galarian Moltres,Dark  Flying,1,90,85,90,100,125,90,580,3,Sp. Fighter
149,Dragonite,Dragon  Flying,1,91,134,95,100,100,80,600,2,All-Rounder
150,Mewtwo,Psychic,1,106,110,90,154,90,130,680,2,All-Rounder
151,Mew,Psychic,1,100,100,100,100,100,100,600,2,All-Rounder
154,Meganium,Grass,2,80,82,100,83,100,80,525,3,Sp. Fighter
157,Typhlosion,Fire,2,78,84,78,109,85,100,534,1,Below Average
157,Typhlosion  Hisuian Typhlosion,Fire  Ghost,2,73,84,78,119,85,95,534,2,All-Rounder
160,Feraligatr,Water,2,85,105,100,79,83,78,530,4,Physical Wall
162,Furret,Normal,2,85,76,64,45,55,90,415,1,Below Average
164,Noctowl,Normal  Flying,2,100,50,50,86,96,70,452,0,HP Tank
166,Ledian,Bug  Flying,2,55,35,50,55,110,85,390,3,Sp. Fighter
168,Ariados,Bug  Poison,2,70,90,70,60,70,40,400,4,Physical Wall
169,Crobat,Poison  Flying,2,85,90,80,70,80,130,535,1,Below Average
171,Lanturn,Water  Electric,2,125,58,58,76,76,67,460,0,HP Tank
178,Xatu,Psychic  Flying,2,65,75,70,95,70,95,470,1,Below Average
181,Ampharos,Electric,2,90,75,85,115,90,55,510,3,Sp. Fighter
182,Bellossom,Grass,2,75,80,95,90,100,50,490,3,Sp. Fighter
184,Azumarill,Water  Fairy,2,100,50,80,60,80,50,420,0,HP Tank
185,Sudowoodo,Rock,2,70,100,115,30,65,30,410,4,Physical Wall
186,Politoed,Water,2,90,75,75,90,100,70,500,3,Sp. Fighter
189,Jumpluff,Grass  Flying,2,75,55,70,55,95,110,460,1,Below Average
192,Sunflora,Grass,2,75,75,55,105,85,30,425,0,HP Tank
195,Quagsire,Water  Ground,2,95,85,85,65,65,35,430,0,HP Tank
196,Espeon,Psychic,2,65,65,60,130,95,110,525,1,Below Average
197,Umbreon,Dark,2,95,65,110,60,130,65,525,3,Sp. Fighter
199,Slowking,Water  Psychic,2,95,75,80,100,110,30,490,3,Sp. Fighter
199,Slowking  Galarian Slowking,Poison  Psychic,2,95,65,80,110,110,30,490,3,Sp. Fighter
201,Unown,Psychic,2,48,72,48,72,48,48,336,1,Below Average
202,Wobbuffet,Psychic,2,190,33,58,33,58,33,405,0,HP Tank
205,Forretress,Bug  Steel,2,75,90,140,60,60,40,465,4,Physical Wall
208,Steelix,Steel  Ground,2,75,85,200,55,65,30,510,4,Physical Wall
210,Granbull,Fairy,2,90,120,75,60,60,45,450,4,Physical Wall
211,Qwilfish,Water  Poison,2,65,95,85,55,55,85,440,1,Below Average
211,Qwilfish  Hisuian Qwilfish,Dark  Poison,2,65,95,85,55,55,85,440,1,Below Average
212,Scizor,Bug  Steel,2,70,130,100,55,80,65,500,4,Physical Wall
213,Shuckle,Bug  Rock,2,20,10,230,10,230,5,505,3,Sp. Fighter
214,Heracross,Bug  Fighting,2,80,125,75,40,95,85,500,4,Physical Wall
219,Magcargo,Fire  Rock,2,60,50,120,90,80,30,430,3,Sp. Fighter
222,Corsola,Water  Rock,2,65,55,95,65,95,35,410,3,Sp. Fighter
222,Corsola  Galarian Corsola,Ghost,2,60,55,100,65,100,30,410,3,Sp. Fighter
224,Octillery,Water,2,75,105,75,105,75,45,480,0,HP Tank
225,Delibird,Ice  Flying,2,45,55,45,65,45,75,330,1,Below Average
226,Mantine,Water  Flying,2,85,40,70,80,140,70,485,3,Sp. Fighter
227,Skarmory,Steel  Flying,2,65,80,140,40,70,70,465,4,Physical Wall
229,Houndoom,Dark  Fire,2,75,90,50,110,80,95,500,1,Below Average
230,Kingdra,Water  Dragon,2,75,95,95,95,95,85,540,2,All-Rounder
232,Donphan,Ground,2,90,120,120,60,60,50,500,4,Physical Wall
235,Smeargle,Normal,2,55,20,35,20,45,75,250,1,Below Average
237,Hitmontop,Fighting,2,50,95,95,35,110,70,455,4,Physical Wall
241,Miltank,Normal,2,95,80,105,40,70,100,490,4,Physical Wall
242,Blissey,Normal,2,255,10,10,75,135,55,540,0,HP Tank
243,Raikou,Electric,2,90,85,75,115,100,115,580,2,All-Rounder
244,Entei,Fire,2,115,115,85,90,75,100,580,2,All-Rounder
245,Suicune,Water,2,100,75,115,90,115,85,580,3,Sp. Fighter
248,Tyranitar,Rock  Dark,2,100,134,110,95,100,61,600,2,All-Rounder
249,Lugia,Psychic  Flying,2,106,90,130,90,154,110,680,3,Sp. Fighter
250,Ho-oh,Fire  Flying,2,106,130,90,110,154,90,680,2,All-Rounder
251,Celebi,Psychic  Grass,2,100,100,100,100,100,100,600,2,All-Rounder
254,Sceptile,Grass,3,70,85,65,105,85,120,530,1,Below Average
257,Blaziken,Fire  Fighting,3,80,120,70,110,70,80,530,2,All-Rounder
260,Swampert,Water  Ground,3,100,110,90,85,90,60,535,0,HP Tank
262,Mightyena,Dark,3,70,90,70,60,60,70,420,1,Below Average
264,Linoone,Normal,3,78,70,61,50,61,100,420,1,Below Average
264,Linoone  Galarian Linoone,Dark  Normal,3,78,70,61,50,61,100,420,1,Below Average
267,Beautifly,Bug  Flying,3,60,70,50,100,50,65,395,1,Below Average
269,Dustox,Bug  Poison,3,60,50,70,50,90,65,385,1,Below Average
272,Ludicolo,Water  Grass,3,80,70,70,90,100,70,480,3,Sp. Fighter
275,Shiftry,Grass  Dark,3,90,100,60,90,60,80,480,1,Below Average
277,Swellow,Normal  Flying,3,60,85,60,75,50,125,455,1,Below Average
279,Pelipper,Water  Flying,3,60,50,100,95,70,65,440,3,Sp. Fighter
282,Gardevoir,Psychic  Fairy,3,68,65,65,125,115,80,518,3,Sp. Fighter
284,Masquerain,Bug  Flying,3,70,60,62,100,82,80,454,1,Below Average
286,Breloom,Grass  Fighting,3,60,130,80,60,60,70,460,4,Physical Wall
289,Slaking,Normal,3,150,160,100,95,65,100,670,2,All-Rounder
291,Ninjask,Bug  Flying,3,61,90,45,50,50,160,456,1,Below Average
292,Shedinja,Bug  Ghost,3,1,90,45,30,30,40,236,1,Below Average
295,Exploud,Normal,3,104,91,63,91,73,68,490,0,HP Tank
297,Hariyama,Fighting,3,144,120,60,40,60,50,474,0,HP Tank
301,Delcatty,Normal,3,70,65,65,55,55,90,400,1,Below Average
302,Sableye,Dark  Ghost,3,50,75,75,65,65,50,380,1,Below Average
303,Mawile,Steel  Fairy,3,50,85,85,55,55,50,380,4,Physical Wall
306,Aggron,Steel  Rock,3,70,110,180,60,60,50,530,4,Physical Wall
308,Medicham,Fighting  Psychic,3,60,60,75,60,75,80,410,1,Below Average
310,Manectric,Electric,3,70,75,60,105,60,105,475,1,Below Average
311,Plusle,Electric,3,60,50,40,85,75,95,405,1,Below Average
312,Minun,Electric,3,60,40,50,75,85,95,405,1,Below Average
313,Volbeat,Bug,3,65,73,75,47,85,85,430,1,Below Average
314,Illumise,Bug,3,65,47,75,73,85,85,430,1,Below Average
317,Swalot,Poison,3,100,73,83,73,83,55,467,0,HP Tank
319,Sharpedo,Water  Dark,3,70,120,40,95,40,95,460,1,Below Average
321,Wailord,Water,3,170,90,45,90,45,60,500,0,HP Tank
323,Camerupt,Fire  Ground,3,70,100,70,105,75,40,460,0,HP Tank
324,Torkoal,Fire,3,70,85,140,85,70,20,470,4,Physical Wall
326,Grumpig,Psychic,3,80,45,65,90,110,80,470,3,Sp. Fighter
327,Spinda,Normal,3,60,60,60,60,60,60,360,1,Below Average
330,Flygon,Ground  Dragon,3,80,100,80,80,80,100,520,1,Below Average
332,Cacturne,Grass  Dark,3,70,115,60,115,60,55,475,1,Below Average
334,Altaria,Dragon  Flying,3,75,70,90,70,105,80,490,3,Sp. Fighter
335,Zangoose,Normal,3,73,115,60,60,60,90,458,1,Below Average
336,Seviper,Poison,3,73,100,60,100,60,65,458,1,Below Average
337,Lunatone,Rock  Psychic,3,90,55,65,95,85,70,460,3,Sp. Fighter
338,Solrock,Rock  Psychic,3,90,95,85,55,65,70,460,4,Physical Wall
340,Whiscash,Water  Ground,3,110,78,73,76,71,60,468,0,HP Tank
342,Crawdaunt,Water  Dark,3,63,120,85,90,55,55,468,4,Physical Wall
344,Claydol,Ground  Psychic,3,60,70,105,70,120,75,500,3,Sp. Fighter
346,Cradily,Rock  Grass,3,86,81,97,81,107,43,495,3,Sp. Fighter
348,Armaldo,Rock  Bug,3,75,125,100,70,80,45,495,4,Physical Wall
350,Milotic,Water,3,95,60,79,100,125,81,540,3,Sp. Fighter
351,Castform,Normal,3,70,70,70,70,70,70,420,1,Below Average
352,Kecleon,Normal,3,60,90,70,60,120,40,440,3,Sp. Fighter
354,Banette,Ghost,3,64,115,65,83,63,65,455,1,Below Average
357,Tropius,Grass  Flying,3,99,68,83,72,87,51,460,0,HP Tank
358,Chimecho,Psychic,3,75,50,80,95,90,65,455,3,Sp. Fighter
359,Absol,Dark,3,65,130,60,75,60,75,465,1,Below Average
362,Glalie,Ice,3,80,80,80,80,80,80,480,1,Below Average
365,Walrein,Ice  Water,3,110,80,90,95,90,65,530,0,HP Tank
367,Huntail,Water,3,55,104,105,94,75,52,485,4,Physical Wall
368,Gorebyss,Water,3,55,84,105,114,75,52,485,3,Sp. Fighter
369,Relicanth,Water  Rock,3,100,90,130,45,65,55,485,4,Physical Wall
370,Luvdisc,Water,3,43,30,55,40,65,97,330,1,Below Average
373,Salamence,Dragon  Flying,3,95,135,80,110,80,100,600,2,All-Rounder
376,Metagross,Steel  Psychic,3,80,135,130,95,90,70,600,4,Physical Wall
377,Regirock,Rock,3,80,100,200,50,100,50,580,4,Physical Wall
378,Regice,Ice,3,80,50,100,100,200,50,580,3,Sp. Fighter
379,Registeel,Steel,3,80,75,150,75,150,50,580,3,Sp. Fighter
380,Latias,Dragon  Psychic,3,80,80,90,110,130,110,600,3,Sp. Fighter
381,Latios,Dragon  Psychic,3,80,90,80,130,110,110,600,2,All-Rounder
382,Kyogre,Water,3,100,100,90,150,140,90,670,2,All-Rounder
383,Groudon,Ground,3,100,150,140,100,90,90,670,2,All-Rounder
384,Rayquaza,Dragon  Flying,3,105,150,90,150,90,95,680,2,All-Rounder
385,Jirachi,Steel  Psychic,3,100,100,100,100,100,100,600,2,All-Rounder
386,Deoxys  Normal Forme,Psychic,3,50,150,50,150,50,150,600,2,All-Rounder
386,Deoxys  Attack Forme,Psychic,3,50,180,20,180,20,150,600,2,All-Rounder
386,Deoxys  Defense Forme,Psychic,3,50,70,160,70,160,90,600,3,Sp. Fighter
386,Deoxys  Speed Forme,Psychic,3,50,95,90,95,90,180,600,1,Below Average
389,Torterra,Grass  Ground,4,95,109,105,75,85,56,525,4,Physical Wall
392,Infernape,Fire  Fighting,4,76,104,71,104,71,108,534,1,Below Average
395,Empoleon,Water  Steel,4,84,86,88,111,101,60,530,3,Sp. Fighter
398,Staraptor,Normal  Flying,4,85,120,70,50,60,100,485,1,Below Average
400,Bibarel,Normal  Water,4,79,85,60,55,60,71,410,1,Below Average
402,Kricketune,Bug,4,77,85,51,55,51,65,384,1,Below Average
405,Luxray,Electric,4,80,120,79,95,79,70,523,2,All-Rounder
407,Roserade,Grass  Poison,4,60,70,65,125,105,90,515,3,Sp. Fighter
409,Rampardos,Rock,4,97,165,60,65,50,58,495,4,Physical Wall
411,Bastiodon,Rock  Steel,4,60,52,168,47,138,30,495,3,Sp. Fighter
413,Wormadam  Plant Cloak,Bug  Grass,4,60,59,85,79,105,36,424,3,Sp. Fighter
413,Wormadam  Sandy Cloak,Bug  Ground,4,60,79,105,59,85,36,424,4,Physical Wall
413,Wormadam  Trash Cloak,Bug  Steel,4,60,69,95,69,95,36,424,3,Sp. Fighter
414,Mothim,Bug  Flying,4,70,94,50,94,50,66,424,1,Below Average
416,Vespiquen,Bug  Flying,4,70,80,102,80,102,40,474,3,Sp. Fighter
417,Pachirisu,Electric,4,60,45,70,45,90,95,405,1,Below Average
419,Floatzel,Water,4,85,105,55,85,50,115,495,1,Below Average
421,Cherrim,Grass,4,70,60,70,87,78,85,450,1,Below Average
423,Gastrodon,Water  Ground,4,111,83,68,92,82,39,475,0,HP Tank
424,Ambipom,Normal,4,75,100,66,60,66,115,482,1,Below Average
426,Drifblim,Ghost  Flying,4,150,80,44,90,54,80,498,0,HP Tank
428,Lopunny,Normal,4,65,76,84,54,96,105,480,1,Below Average
429,Mismagius,Ghost,4,60,60,60,105,105,105,495,1,Below Average
430,Honchkrow,Dark  Flying,4,100,125,52,105,52,71,505,0,HP Tank
432,Purugly,Normal,4,71,82,64,64,59,112,452,1,Below Average
435,Skuntank,Poison  Dark,4,103,93,67,71,61,84,479,0,HP Tank
437,Bronzong,Steel  Psychic,4,67,89,116,79,116,33,500,3,Sp. Fighter
441,Chatot,Normal  Flying,4,76,65,45,92,42,91,411,1,Below Average
442,Spiritomb,Ghost  Dark,4,50,92,108,92,108,35,485,3,Sp. Fighter
445,Garchomp,Dragon  Ground,4,108,130,95,80,85,102,600,2,All-Rounder
448,Lucario,Fighting  Steel,4,70,110,70,115,70,90,525,1,Below Average
450,Hippowdon,Ground,4,108,112,118,68,72,47,525,4,Physical Wall
452,Drapion,Poison  Dark,4,70,90,110,60,75,95,500,4,Physical Wall
454,Toxicroak,Poison  Fighting,4,83,106,65,86,65,85,490,1,Below Average
455,Carnivine,Grass,4,74,100,72,90,72,46,454,0,HP Tank
457,Lumineon,Water,4,69,69,76,69,86,91,460,1,Below Average
460,Abomasnow,Grass  Ice,4,90,92,75,92,85,60,494,0,HP Tank
461,Weavile,Dark  Ice,4,70,120,65,45,85,125,510,1,Below Average
462,Magnezone,Electric  Steel,4,70,70,115,130,90,60,535,3,Sp. Fighter
463,Lickilicky,Normal,4,110,85,95,80,95,50,515,0,HP Tank
464,Rhyperior,Ground  Rock,4,115,140,130,55,55,40,535,4,Physical Wall
465,Tangrowth,Grass,4,100,100,125,110,50,50,535,4,Physical Wall
466,Electivire,Electric,4,75,123,67,95,85,95,540,2,All-Rounder
467,Magmortar,Fire,4,75,95,67,125,95,83,540,2,All-Rounder
468,Togekiss,Fairy  Flying,4,85,50,95,120,115,80,545,3,Sp. Fighter
469,Yanmega,Bug  Flying,4,86,76,86,116,56,95,515,1,Below Average
470,Leafeon,Grass,4,65,110,130,60,65,95,525,4,Physical Wall
471,Glaceon,Ice,4,65,60,110,130,95,65,525,3,Sp. Fighter
472,Gliscor,Ground  Flying,4,75,95,125,45,75,95,510,4,Physical Wall
473,Mamoswine,Ice  Ground,4,110,130,80,70,60,80,530,4,Physical Wall
474,Porygon-Z,Normal,4,85,80,70,135,75,90,535,2,All-Rounder
475,Gallade,Psychic  Fighting,4,68,125,65,65,115,80,518,2,All-Rounder
476,Probopass,Rock  Steel,4,60,55,145,75,150,40,525,3,Sp. Fighter
477,Dusknoir,Ghost,4,45,100,135,65,135,45,525,3,Sp. Fighter
478,Froslass,Ice  Ghost,4,70,80,70,80,70,110,480,1,Below Average
479,Rotom,Electric  Ghost,4,50,50,77,95,77,91,440,1,Below Average
479,Rotom  Heat Rotom,Electric  Fire,4,50,65,107,105,107,86,520,3,Sp. Fighter
479,Rotom  Wash Rotom,Electric  Water,4,50,65,107,105,107,86,520,3,Sp. Fighter
479,Rotom  Frost Rotom,Electric  Ice,4,50,65,107,105,107,86,520,3,Sp. Fighter
479,Rotom  Fan Rotom,Electric  Flying,4,50,65,107,105,107,86,520,3,Sp. Fighter
479,Rotom  Mow Rotom,Electric  Grass,4,50,65,107,105,107,86,520,3,Sp. Fighter
480,Uxie,Psychic,4,75,75,130,75,130,95,580,3,Sp. Fighter
481,Mesprit,Psychic,4,80,105,105,105,105,80,580,2,All-Rounder
482,Azelf,Psychic,4,75,125,70,125,70,115,580,2,All-Rounder
483,Dialga,Steel  Dragon,4,100,120,120,150,100,90,680,2,All-Rounder
483,Dialga  Origin Forme,Steel  Dragon,4,100,100,120,150,120,90,680,2,All-Rounder
484,Palkia,Water  Dragon,4,90,120,100,150,120,100,680,2,All-Rounder
484,Palkia  Origin Forme,Water  Dragon,4,90,100,100,150,120,120,680,2,All-Rounder
485,Heatran,Fire  Steel,4,91,90,106,130,106,77,600,2,All-Rounder
486,Regigigas,Normal,4,110,160,110,80,110,100,670,2,All-Rounder
487,Giratina  Altered Forme,Ghost  Dragon,4,150,100,120,100,120,90,680,2,All-Rounder
487,Giratina  Origin Forme,Ghost  Dragon,4,150,120,100,120,100,90,680,2,All-Rounder
488,Cresselia,Psychic,4,120,70,110,75,120,85,580,3,Sp. Fighter
489,Phione,Water,4,80,80,80,80,80,80,480,1,Below Average
490,Manaphy,Water,4,100,100,100,100,100,100,600,2,All-Rounder
491,Darkrai,Dark,4,70,90,90,135,90,125,600,2,All-Rounder
492,Shaymin  Land Forme,Grass,4,100,100,100,100,100,100,600,2,All-Rounder
492,Shaymin  Sky Forme,Grass  Flying,4,100,103,75,120,75,127,600,2,All-Rounder
493,Arceus,Normal,4,120,120,120,120,120,120,720,2,All-Rounder
494,Victini,Psychic  Fire,5,100,100,100,100,100,100,600,2,All-Rounder
497,Serperior,Grass,5,75,75,95,75,95,113,528,1,Below Average
500,Emboar,Fire  Fighting,5,110,123,65,100,65,65,528,0,HP Tank
503,Samurott,Water,5,95,100,85,108,70,70,528,0,HP Tank
503,Samurott  Hisuian Samurott,Water  Dark,5,90,108,80,100,65,85,528,2,All-Rounder
505,Watchog,Normal,5,60,85,69,60,69,77,420,1,Below Average
508,Stoutland,Normal,5,85,110,90,45,90,80,500,4,Physical Wall
510,Liepard,Dark,5,64,88,50,88,50,106,446,1,Below Average
512,Simisage,Grass,5,75,98,63,98,63,101,498,1,Below Average
514,Simisear,Fire,5,75,98,63,98,63,101,498,1,Below Average
516,Simipour,Water,5,75,98,63,98,63,101,498,1,Below Average
518,Musharna,Psychic,5,116,55,85,107,95,29,487,0,HP Tank
521,Unfezant,Normal  Flying,5,80,115,80,65,55,93,488,1,Below Average
523,Zebstrika,Electric,5,75,100,63,80,63,116,497,1,Below Average
526,Gigalith,Rock,5,85,135,130,60,80,25,515,4,Physical Wall
528,Swoobat,Psychic  Flying,5,67,57,55,77,55,114,425,1,Below Average
530,Excadrill,Ground  Steel,5,110,135,60,50,65,88,508,4,Physical Wall
531,Audino,Normal,5,103,60,86,60,86,50,445,0,HP Tank
534,Conkeldurr,Fighting,5,105,140,95,55,65,45,505,4,Physical Wall
537,Seismitoad,Water  Ground,5,105,95,75,85,75,74,509,0,HP Tank
538,Throh,Fighting,5,120,100,85,30,85,45,465,0,HP Tank
539,Sawk,Fighting,5,75,125,75,30,75,85,465,4,Physical Wall
542,Leavanny,Bug  Grass,5,75,103,80,70,80,92,500,1,Below Average
545,Scolipede,Bug  Poison,5,60,100,89,55,69,112,485,1,Below Average
547,Whimsicott,Grass  Fairy,5,60,67,85,77,75,116,480,1,Below Average
549,Lilligant,Grass,5,70,60,75,110,75,90,480,1,Below Average
549,Lilligant  Hisuian Lilligant,Grass  Fighting,5,70,105,75,50,75,105,480,1,Below Average
550,Basculin  Red-Striped Form,Water,5,70,92,65,80,55,98,460,1,Below Average
553,Krookodile,Ground  Dark,5,95,117,80,65,70,92,519,4,Physical Wall
555,Darmanitan  Standard Mode,Fire,5,105,140,55,30,55,95,480,4,Physical Wall
555,Darmanitan  Galarian Standard Mode,Ice,5,105,140,55,30,55,95,480,4,Physical Wall
556,Maractus,Grass,5,75,86,67,106,67,60,461,1,Below Average
558,Crustle,Bug  Rock,5,70,105,125,65,75,45,485,4,Physical Wall
560,Scrafty,Dark  Fighting,5,65,90,115,45,115,58,488,4,Physical Wall
561,Sigilyph,Psychic  Flying,5,72,58,80,103,80,97,490,1,Below Average
563,Cofagrigus,Ghost,5,58,50,145,95,105,30,483,3,Sp. Fighter
565,Carracosta,Water  Rock,5,74,108,133,83,65,32,495,4,Physical Wall
567,Archeops,Rock  Flying,5,75,140,65,112,65,110,567,2,All-Rounder
569,Garbodor,Poison,5,80,95,82,60,82,75,474,4,Physical Wall
571,Zoroark,Dark,5,60,105,60,120,60,105,510,1,Below Average
571,Zoroark  Hisuian Zoroark,Normal  Ghost,5,55,100,60,125,60,110,510,1,Below Average
573,Cinccino,Normal,5,75,95,60,65,60,115,470,1,Below Average
576,Gothitelle,Psychic,5,70,55,95,95,110,65,490,3,Sp. Fighter
579,Reuniclus,Psychic,5,110,65,75,125,85,30,490,0,HP Tank
