Dex_Number,Name,Type,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation
144,Articuno  Galarian Articuno,Psychic  Flying,580,90,85,85,125,100,95,1
145,Zapdos,Electric  Flying,580,90,90,85,125,90,100,1
145,Zapdos  Galarian Zapdos,Fighting  Flying,580,90,125,90,85,90,100,1
146,Moltres,Fire  Flying,580,90,100,90,125,85,90,1
146,Moltres  Galarian Moltres,Dark  Flying,580,90,85,90,100,125,90,1
149,Dragonite,Dragon  Flying,600,91,134,95,100,100,80,1
150,Mewtwo,Psychic,680,106,110,90,154,90,130,1
151,Mew,Psychic,600,100,100,100,100,100,100,1
154,Meganium,Grass,525,80,82,100,83,100,80,2
157,Typhlosion,Fire,534,78,84,78,109,85,100,2
157,Typhlosion  Hisuian Typhlosion,Fire  Ghost,534,73,84,78,119,85,95,2
160,Feraligatr,Water,530,85,105,100,79,83,78,2
162,Furret,Normal,415,85,76,64,45,55,90,2
164,Noctowl,Normal  Flying,452,100,50,50,86,96,70,2
166,Ledian,Bug  Flying,390,55,35,50,55,110,85,2
168,Ariados,Bug  Poison,400,70,90,70,60,70,40,2
169,Crobat,Poison  Flying,535,85,90,80,70,80,130,2
171,Lanturn,Water  Electric,460,125,58,58,76,76,67,2
178,Xatu,Psychic  Flying,470,65,75,70,95,70,95,2
181,Ampharos,Electric,510,90,75,85,115,90,55,2
182,Bellossom,Grass,490,75,80,95,90,100,50,2
184,Azumarill,Water  Fairy,420,100,50,80,60,80,50,2
185,Sudowoodo,Rock,410,70,100,115,30,65,30,2
186,Politoed,Water,500,90,75,75,90,100,70,2
189,Jumpluff,Grass  Flying,460,75,55,70,55,95,110,2
192,Sunflora,Grass,425,75,75,55,105,85,30,2
195,Quagsire,Water  Ground,430,95,85,85,65,65,35,2
196,Espeon,Psychic,525,65,65,60,130,95,110,2
197,Umbreon,Dark,525,95,65,110,60,130,65,2
199,Slowking,Water  Psychic,490,95,75,80,100,110,30,2
199,Slowking  Galarian Slowking,Poison  Psychic,490,95,65,80,110,110,30,2
201,Unown,Psychic,336,48,72,48,72,48,48,2
202,Wobbuffet,Psychic,405,190,33,58,33,58,33,2
205,Forretress,Bug  Steel,465,75,90,140,60,60,40,2
208,Steelix,Steel  Ground,510,75,85,200,55,65,30,2
210,Granbull,Fairy,450,90,120,75,60,60,45,2
211,Qwilfish,Water  Poison,440,65,95,85,55,55,85,2
211,Qwilfish  Hisuian Qwilfish,Dark  Poison,440,65,95,85,55,55,85,2
212,Scizor,Bug  Steel,500,70,130,100,55,80,65,2
213,Shuckle,Bug  Rock,505,20,10,230,10,230,5,2
214,Heracross,Bug  Fighting,500,80,125,75,40,95,85,2
219,Magcargo,Fire  Rock,430,60,50,120,90,80,30,2
222,Corsola,Water  Rock,410,65,55,95,65,95,35,2
222,Corsola  Galarian Corsola,Ghost,410,60,55,100,65,100,30,2
224,Octillery,Water,480,75,105,75,105,75,45,2
225,Delibird,Ice  Flying,330,45,55,45,65,45,75,2
226,Mantine,Water  Flying,485,85,40,70,80,140,70,2
227,Skarmory,Steel  Flying,465,65,80,140,40,70,70,2
229,Houndoom,Dark  Fire,500,75,90,50,110,80,95,2
230,Kingdra,Water  Dragon,540,75,95,95,95,95,85,2
232,Donphan,Ground,500,90,120,120,60,60,50,2
235,Smeargle,Normal,250,55,20,35,20,45,75,2
237,Hitmontop,Fighting,455,50,95,95,35,110,70,2
241,Miltank,Normal,490,95,80,105,40,70,100,2
242,Blissey,Normal,540,255,10,10,75,135,55,2
243,Raikou,Electric,580,90,85,75,115,100,115,2
244,Entei,Fire,580,115,115,85,90,75,100,2
245,Suicune,Water,580,100,75,115,90,115,85,2
248,Tyranitar,Rock  Dark,600,100,134,110,95,100,61,2
249,Lugia,Psychic  Flying,680,106,90,130,90,154,110,2
250,Ho-oh,Fire  Flying,680,106,130,90,110,154,90,2
251,Celebi,Psychic  Grass,600,100,100,100,100,100,100,2
254,Sceptile,Grass,530,70,85,65,105,85,120,3
257,Blaziken,Fire  Fighting,530,80,120,70,110,70,80,3
260,Swampert,Water  Ground,535,100,110,90,85,90,60,3
262,Mightyena,Dark,420,70,90,70,60,60,70,3
264,Linoone,Normal,420,78,70,61,50,61,100,3
264,Linoone  Galarian Linoone,Dark  Normal,420,78,70,61,50,61,100,3
267,Beautifly,Bug  Flying,395,60,70,50,100,50,65,3
269,Dustox,Bug  Poison,385,60,50,70,50,90,65,3
272,Ludicolo,Water  Grass,480,80,70,70,90,100,70,3
275,Shiftry,Grass  Dark,480,90,100,60,90,60,80,3
277,Swellow,Normal  Flying,455,60,85,60,75,50,125,3
279,Pelipper,Water  Flying,440,60,50,100,95,70,65,3
282,Gardevoir,Psychic  Fairy,518,68,65,65,125,115,80,3
284,Masquerain,Bug  Flying,454,70,60,62,100,82,80,3
286,Breloom,Grass  Fighting,460,60,130,80,60,60,70,3
289,Slaking,Normal,670,150,160,100,95,65,100,3
291,Ninjask,Bug  Flying,456,61,90,45,50,50,160,3
292,Shedinja,Bug  Ghost,236,1,90,45,30,30,40,3
295,Exploud,Normal,490,104,91,63,91,73,68,3
297,Hariyama,Fighting,474,144,120,60,40,60,50,3
301,Delcatty,Normal,400,70,65,65,55,55,90,3
302,Sableye,Dark  Ghost,380,50,75,75,65,65,50,3
303,Mawile,Steel  Fairy,380,50,85,85,55,55,50,3
306,Aggron,Steel  Rock,530,70,110,180,60,60,50,3
308,Medicham,Fighting  Psychic,410,60,60,75,60,75,80,3
310,Manectric,Electric,475,70,75,60,105,60,105,3
311,Plusle,Electric,405,60,50,40,85,75,95,3
312,Minun,Electric,405,60,40,50,75,85,95,3
313,Volbeat,Bug,430,65,73,75,47,85,85,3
314,Illumise,Bug,430,65,47,75,73,85,85,3
317,Swalot,Poison,467,100,73,83,73,83,55,3
319,Sharpedo,Water  Dark,460,70,120,40,95,40,95,3
321,Wailord,Water,500,170,90,45,90,45,60,3
323,Camerupt,Fire  Ground,460,70,100,70,105,75,40,3
324,Torkoal,Fire,470,70,85,140,85,70,20,3
326,Grumpig,Psychic,470,80,45,65,90,110,80,3
327,Spinda,Normal,360,60,60,60,60,60,60,3
330,Flygon,Ground  Dragon,520,80,100,80,80,80,100,3
332,Cacturne,Grass  Dark,475,70,115,60,115,60,55,3
334,Altaria,Dragon  Flying,490,75,70,90,70,105,80,3
335,Zangoose,Normal,458,73,115,60,60,60,90,3
336,Seviper,Poison,458,73,100,60,100,60,65,3
337,Lunatone,Rock  Psychic,460,90,55,65,95,85,70,3
338,Solrock,Rock  Psychic,460,90,95,85,55,65,70,3
340,Whiscash,Water  Ground,468,110,78,73,76,71,60,3
342,Crawdaunt,Water  Dark,468,63,120,85,90,55,55,3
344,Claydol,Ground  Psychic,500,60,70,105,70,120,75,3
346,Cradily,Rock  Grass,495,86,81,97,81,107,43,3
348,Armaldo,Rock  Bug,495,75,125,100,70,80,45,3
350,Milotic,Water,540,95,60,79,100,125,81,3
351,Castform,Normal,420,70,70,70,70,70,70,3
352,Kecleon,Normal,440,60,90,70,60,120,40,3
354,Banette,Ghost,455,64,115,65,83,63,65,3
357,Tropius,Grass  Flying,460,99,68,83,72,87,51,3
358,Chimecho,Psychic,455,75,50,80,95,90,65,3
359,Absol,Dark,465,65,130,60,75,60,75,3
362,Glalie,Ice,480,80,80,80,80,80,80,3
365,Walrein,Ice  Water,530,110,80,90,95,90,65,3
367,Huntail,Water,485,55,104,105,94,75,52,3
368,Gorebyss,Water,485,55,84,105,114,75,52,3
369,Relicanth,Water  Rock,485,100,90,130,45,65,55,3
370,Luvdisc,Water,330,43,30,55,40,65,97,3
373,Salamence,Dragon  Flying,600,95,135,80,110,80,100,3
376,Metagross,Steel  Psychic,600,80,135,130,95,90,70,3
377,Regirock,Rock,580,80,100,200,50,100,50,3
378,Regice,Ice,580,80,50,100,100,200,50,3
379,Registeel,Steel,580,80,75,150,75,150,50,3
380,Latias,Dragon  Psychic,600,80,80,90,110,130,110,3
381,Latios,Dragon  Psychic,600,80,90,80,130,110,110,3
382,Kyogre,Water,670,100,100,90,150,140,90,3
383,Groudon,Ground,670,100,150,140,100,90,90,3
384,Rayquaza,Dragon  Flying,680,105,150,90,150,90,95,3
385,Jirachi,Steel  Psychic,600,100,100,100,100,100,100,3
386,Deoxys  Normal Forme,Psychic,600,50,150,50,150,50,150,3
386,Deoxys  Attack Forme,Psychic,600,50,180,20,180,20,150,3
386,Deoxys  Defense Forme,Psychic,600,50,70,160,70,160,90,3
386,Deoxys  Speed Forme,Psychic,600,50,95,90,95,90,180,3
389,Torterra,Grass  Ground,525,95,109,105,75,85,56,4
392,Infernape,Fire  Fighting,534,76,104,71,104,71,108,4
395,Empoleon,Water  Steel,530,84,86,88,111,101,60,4
398,Staraptor,Normal  Flying,485,85,120,70,50,60,100,4
400,Bibarel,Normal  Water,410,79,85,60,55,60,71,4
402,Kricketune,Bug,384,77,85,51,55,51,65,4
405,Luxray,Electric,523,80,120,79,95,79,70,4
407,Roserade,Grass  Poison,515,60,70,65,125,105,90,4
409,Rampardos,Rock,495,97,165,60,65,50,58,4
411,Bastiodon,Rock  Steel,495,60,52,168,47,138,30,4
413,Wormadam  Plant Cloak,Bug  Grass,424,60,59,85,79,105,36,4
413,Wormadam  Sandy Cloak,Bug  Ground,424,60,79,105,59,85,36,4
413,Wormadam  Trash Cloak,Bug  Steel,424,60,69,95,69,95,36,4
414,Mothim,Bug  Flying,424,70,94,50,94,50,66,4
416,Vespiquen,Bug  Flying,474,70,80,102,80,102,40,4
417,Pachirisu,Electric,405,60,45,70,45,90,95,4
419,Floatzel,Water,495,85,105,55,85,50,115,4
421,Cherrim,Grass,450,70,60,70,87,78,85,4
423,Gastrodon,Water  Ground,475,111,83,68,92,82,39,4
424,Ambipom,Normal,482,75,100,66,60,66,115,4
426,Drifblim,Ghost  Flying,498,150,80,44,90,54,80,4
428,Lopunny,Normal,480,65,76,84,54,96,105,4
429,Mismagius,Ghost,495,60,60,60,105,105,105,4
430,Honchkrow,Dark  Flying,505,100,125,52,105,52,71,4
432,Purugly,Normal,452,71,82,64,64,59,112,4
435,Skuntank,Poison  Dark,479,103,93,67,71,61,84,4
437,Bronzong,Steel  Psychic,500,67,89,116,79,116,33,4
441,Chatot,Normal  Flying,411,76,65,45,92,42,91,4
442,Spiritomb,Ghost  Dark,485,50,92,108,92,108,35,4
445,Garchomp,Dragon  Ground,600,108,130,95,80,85,102,4
448,Lucario,Fighting  Steel,525,70,110,70,115,70,90,4
450,Hippowdon,Ground,525,108,112,118,68,72,47,4
452,Drapion,Poison  Dark,500,70,90,110,60,75,95,4
454,Toxicroak,Poison  Fighting,490,83,106,65,86,65,85,4
455,Carnivine,Grass,454,74,100,72,90,72,46,4
457,Lumineon,Water,460,69,69,76,69,86,91,4
460,Abomasnow,Grass  Ice,494,90,92,75,92,85,60,4
461,Weavile,Dark  Ice,510,70,120,65,45,85,125,4
462,Magnezone,Electric  Steel,535,70,70,115,130,90,60,4
463,Lickilicky,Normal,515,110,85,95,80,95,50,4
464,Rhyperior,Ground  Rock,535,115,140,130,55,55,40,4
465,Tangrowth,Grass,535,100,100,125,110,50,50,4
466,Electivire,Electric,540,75,123,67,95,85,95,4
467,Magmortar,Fire,540,75,95,67,125,95,83,4
468,Togekiss,Fairy  Flying,545,85,50,95,120,115,80,4
469,Yanmega,Bug  Flying,515,86,76,86,116,56,95,4
470,Leafeon,Grass,525,65,110,130,60,65,95,4
471,Glaceon,Ice,525,65,60,110,130,95,65,4
472,Gliscor,Ground  Flying,510,75,95,125,45,75,95,4
473,Mamoswine,Ice  Ground,530,110,130,80,70,60,80,4
474,Porygon-Z,Normal,535,85,80,70,135,75,90,4
475,Gallade,Psychic  Fighting,518,68,125,65,65,115,80,4
476,Probopass,Rock  Steel,525,60,55,145,75,150,40,4
477,Dusknoir,Ghost,525,45,100,135,65,135,45,4
478,Froslass,Ice  Ghost,480,70,80,70,80,70,110,4
479,Rotom,Electric  Ghost,440,50,50,77,95,77,91,4
479,Rotom  Heat Rotom,Electric  Fire,520,50,65,107,105,107,86,4
479,Rotom  Wash Rotom,Electric  Water,520,50,65,107,105,107,86,4
479,Rotom  Frost Rotom,Electric  Ice,520,50,65,107,105,107,86,4
479,Rotom  Fan Rotom,Electric  Flying,520,50,65,107,105,107,86,4
479,Rotom  Mow Rotom,Electric  Grass,520,50,65,107,105,107,86,4
480,Uxie,Psychic,580,75,75,130,75,130,95,4
481,Mesprit,Psychic,580,80,105,105,105,105,80,4
482,Azelf,Psychic,580,75,125,70,125,70,115,4
483,Dialga,Steel  Dragon,680,100,120,120,150,100,90,4
483,Dialga  Origin Forme,Steel  Dragon,680,100,100,120,150,120,90,4
484,Palkia,Water  Dragon,680,90,120,100,150,120,100,4
484,Palkia  Origin Forme,Water  Dragon,680,90,100,100,150,120,120,4
485,Heatran,Fire  Steel,600,91,90,106,130,106,77,4
486,Regigigas,Normal,670,110,160,110,80,110,100,4
487,Giratina  Altered Forme,Ghost  Dragon,680,150,100,120,100,120,90,4
487,Giratina  Origin Forme,Ghost  Dragon,680,150,120,100,120,100,90,4
488,Cresselia,Psychic,580,120,70,110,75,120,85,4
489,Phione,Water,480,80,80,80,80,80,80,4
490,Manaphy,Water,600,100,100,100,100,100,100,4
491,Darkrai,Dark,600,70,90,90,135,90,125,4
492,Shaymin  Land Forme,Grass,600,100,100,100,100,100,100,4
492,Shaymin  Sky Forme,Grass  Flying,600,100,103,75,120,75,127,4
493,Arceus,Normal,720,120,120,120,120,120,120,4
494,Victini,Psychic  Fire,600,100,100,100,100,100,100,5
497,Serperior,Grass,528,75,75,95,75,95,113,5
500,Emboar,Fire  Fighting,528,110,123,65,100,65,65,5
503,Samurott,Water,528,95,100,85,108,70,70,5
503,Samurott  Hisuian Samurott,Water  Dark,528,90,108,80,100,65,85,5
505,Watchog,Normal,420,60,85,69,60,69,77,5
508,Stoutland,Normal,500,85,110,90,45,90,80,5
510,Liepard,Dark,446,64,88,50,88,50,106,5
512,Simisage,Grass,498,75,98,63,98,63,101,5
514,Simisear,Fire,498,75,98,63,98,63,101,5
516,Simipour,Water,498,75,98,63,98,63,101,5
518,Musharna,Psychic,487,116,55,85,107,95,29,5
521,Unfezant,Normal  Flying,488,80,115,80,65,55,93,5
523,Zebstrika,Electric,497,75,100,63,80,63,116,5
526,Gigalith,Rock,515,85,135,130,60,80,25,5
528,Swoobat,Psychic  Flying,425,67,57,55,77,55,114,5
530,Excadrill,Ground  Steel,508,110,135,60,50,65,88,5
531,Audino,Normal,445,103,60,86,60,86,50,5
534,Conkeldurr,Fighting,505,105,140,95,55,65,45,5
537,Seismitoad,Water  Ground,509,105,95,75,85,75,74,5
538,Throh,Fighting,465,120,100,85,30,85,45,5
539,Sawk,Fighting,465,75,125,75,30,75,85,5
542,Leavanny,Bug  Grass,500,75,103,80,70,80,92,5
545,Scolipede,Bug  Poison,485,60,100,89,55,69,112,5
547,Whimsicott,Grass  Fairy,480,60,67,85,77,75,116,5
549,Lilligant,Grass,480,70,60,75,110,75,90,5
549,Lilligant  Hisuian Lilligant,Grass  Fighting,480,70,105,75,50,75,105,5
550,Basculin  Red-Striped Form,Water,460,70,92,65,80,55,98,5
553,Krookodile,Ground  Dark,519,95,117,80,65,70,92,5
555,Darmanitan  Standard Mode,Fire,480,105,140,55,30,55,95,5
555,Darmanitan  Galarian Standard Mode,Ice,480,105,140,55,30,55,95,5
556,Maractus,Grass,461,75,86,67,106,67,60,5
558,Crustle,Bug  Rock,485,70,105,125,65,75,45,5
560,Scrafty,Dark  Fighting,488,65,90,115,45,115,58,5
561,Sigilyph,Psychic  Flying,490,72,58,80,103,80,97,5
563,Cofagrigus,Ghost,483,58,50,145,95,105,30,5
565,Carracosta,Water  Rock,495,74,108,133,83,65,32,5
567,Archeops,Rock  Flying,567,75,140,65,112,65,110,5
569,Garbodor,Poison,474,80,95,82,60,82,75,5
571,Zoroark,Dark,510,60,105,60,120,60,105,5
571,Zoroark  Hisuian Zoroark,Normal  Ghost,510,55,100,60,125,60,110,5
573,Cinccino,Normal,470,75,95,60,65,60,115,5
576,Gothitelle,Psychic,490,70,55,95,95,110,65,5
579,Reuniclus,Psychic,490,110,65,75,125,85,30,5
581,Swanna,Water  Flying,473,75,87,63,87,63,98,5
584,Vanilluxe,Ice,535,71,95,85,110,95,79,5
586,Sawsbuck,Normal  Grass,475,80,100,70,60,70,95,5
587,Emolga,Electric  Flying,428,55,75,60,75,60,103,5
589,Escavalier,Bug  Steel,495,70,135,105,60,105,20,5
591,Amoonguss,Grass  Poison,464,114,85,70,85,80,30,5
593,Jellicent,Water  Ghost,480,100,60,70,85,105,60,5
594,Alomomola,Water,470,165,75,80,40,45,65,5
596,Galvantula,Bug  Electric,472,70,77,60,97,60,108,5
598,Ferrothorn,Grass  Steel,489,74,94,131,54,116,20,5
601,Klinklang,Steel,520,60,100,115,70,85,90,5
604,Eelektross,Electric,515,85,115,80,105,80,50,5
606,Beheeyem,Psychic,485,75,75,75,125,95,40,5
609,Chandelure,Ghost  Fire,520,60,55,90,145,90,80,5
612,Haxorus,Dragon,540,76,147,90,60,70,97,5
614,Beartic,Ice,505,95,130,80,70,80,50,5
615,Cryogonal,Ice,515,80,50,50,95,135,105,5
617,Accelgor,Bug,495,80,70,40,100,60,145,5
618,Stunfisk,Ground  Electric,471,109,66,84,81,99,32,5
618,Stunfisk  Galarian Stunfisk,Ground  Steel,471,109,81,99,66,84,32,5
620,Mienshao,Fighting,510,65,125,60,95,60,105,5
621,Druddigon,Dragon,485,77,120,90,60,90,48,5
623,Golurk,Ground  Ghost,483,89,124,80,55,80,55,5
626,Bouffalant,Normal,490,95,110,95,40,95,55,5
628,Braviary,Normal  Flying,510,100,123,75,57,75,80,5
628,Braviary  Hisuian Braviary,Psychic  Flying,510,110,83,70,112,70,65,5
630,Mandibuzz,Dark  Flying,510,110,65,105,55,95,80,5
631,Heatmor,Fire,484,85,97,66,105,66,65,5
632,Durant,Bug  Steel,484,58,109,112,48,48,109,5
635,Hydreigon,Dark  Dragon,600,92,105,90,125,90,98,5
637,Volcarona,Bug  Fire,550,85,60,65,135,105,100,5
638,Cobalion,Steel  Fighting,580,91,90,129,90,72,108,5
639,Terrakion,Rock  Fighting,580,91,129,90,72,90,108,5
640,Virizion,Grass  Fighting,580,91,90,72,90,129,108,5
641,Tornadus  Incarnate Forme,Flying,580,79,115,70,125,80,111,5
641,Tornadus  Therian Forme,Flying,580,79,100,80,110,90,121,5
642,Thundurus  Incarnate Forme,Electric  Flying,580,79,115,70,125,80,111,5
642,Thundurus  Therian Forme,Electric  Flying,580,79,105,70,145,80,101,5
643,Reshiram,Dragon  Fire,680,100,120,100,150,120,90,5
644,Zekrom,Dragon  Electric,680,100,150,120,120,100,90,5
645,Landorus  Incarnate Forme,Ground  Flying,600,89,125,90,115,80,101,5
645,Landorus  Therian Forme,Ground  Flying,600,89,145,90,105,80,91,5
646,Kyurem,Dragon  Ice,660,125,130,90,130,90,95,5
646,Kyurem  White Kyurem,Dragon  Ice,700,125,120,90,170,100,95,5
646,Kyurem  Black Kyurem,Dragon  Ice,700,125,170,100,120,90,95,5
647,Keldeo  Ordinary Form,Water  Fighting,580,91,72,90,129,90,108,5
648,Meloetta  Aria Forme,Normal  Psychic,600,100,77,77,128,128,90,5
649,Genesect,Bug  Steel,600,71,120,95,120,95,99,5
652,Chesnaught,Grass  Fighting,530,88,107,122,74,75,64,6
655,Delphox,Fire  Psychic,534,75,69,72,114,100,104,6
658,Greninja,Water  Dark,530,72,95,67,103,71,122,6
660,Diggersby,Normal  Ground,423,85,56,77,50,77,78,6
663,Talonflame,Fire  Flying,499,78,81,71,74,69,126,6
666,Vivillon,Bug  Flying,411,80,52,50,90,50,89,6
668,Pyroar,Fire  Normal,507,86,68,72,109,66,106,6
670,Floette,Fairy,371,54,45,47,75,98,52,6
671,Florges,Fairy,552,78,65,68,112,154,75,6
673,Gogoat,Grass,531,123,100,62,97,81,68,6
675,Pangoro,Fighting  Dark,495,95,124,78,69,71,58,6
676,Furfrou,Normal,472,75,80,60,65,90,102,6
678,Meowstic  Male,Psychic,466,74,48,76,83,81,104,6
678,Meowstic  Female,Psychic,466,74,48,76,83,81,104,6
683,Aromatisse,Fairy,462,101,72,72,99,89,29,6
685,Slurpuff,Fairy,480,82,80,86,85,75,72,6
687,Malamar,Dark  Psychic,482,86,92,88,68,75,73,6
689,Barbaracle,Rock  Water,500,72,105,115,54,86,68,6
691,Dragalge,Poison  Dragon,494,65,75,90,97,123,44,6
693,Clawitzer,Water,500,71,73,88,120,89,59,6
695,Heliolisk,Electric  Normal,481,62,55,52,109,94,109,6
697,Tyrantrum,Rock  Dragon,521,82,121,119,69,59,71,6
699,Aurorus,Rock  Ice,521,123,77,72,99,92,58,6
700,Sylveon,Fairy,525,95,65,65,110,130,60,6
701,Hawlucha,Fighting  Flying,500,78,92,75,74,63,118,6
702,Dedenne,Electric  Fairy,431,67,58,57,81,67,101,6
703,Carbink,Rock  Fairy,500,50,50,150,50,150,50,6
706,Goodra,Dragon,600,90,100,70,110,150,80,6
706,Goodra  Hisuian Goodra,Steel  Dragon,600,80,100,100,110,150,60,6
707,Klefki,Steel  Fairy,470,57,80,91,80,87,75,6
709,Trevenant,Ghost  Grass,474,85,110,76,65,82,56,6
711,Gourgeist  Average Size,Ghost  Grass,494,65,90,122,58,75,84,6
711,Gourgeist  Small Size,Ghost  Grass,494,55,85,122,58,75,99,6
711,Gourgeist  Large Size,Ghost  Grass,494,75,95,122,58,75,69,6
711,Gourgeist  Super Size,Ghost  Grass,494,85,100,122,58,75,54,6
713,Avalugg,Ice,514,95,117,184,44,46,28,6
713,Avalugg  Hisuian Avalugg,Ice  Rock,514,95,127,184,34,36,38,6
715,Noivern,Flying  Dragon,535,85,70,80,97,80,123,6
716,Xerneas,Fairy,680,126,131,95,131,98,99,6
717,Yveltal,Dark  Flying,680,126,131,95,131,98,99,6
718,Zygarde  50% Forme,Dragon  Ground,600,108,100,121,81,95,95,6
718,Zygarde  10% Forme,Dragon  Ground,486,54,100,71,61,85,115,6
719,Diancie,Rock  Fairy,600,50,100,150,100,150,50,6
