csv_name,display_name,slug,path,status
Arcanine,Arcanine,arcanine,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\arcanine.png,ok
Arcanine  Hisuian Arcanine,Arcanine (Hisuian Arcanine),arcanine-hisuian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\arcanine-hisuian.png,ok
Poliwrath,Poliwrath,poliwrath,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\poliwrath.png,ok
Alakazam,Alakazam,alakazam,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\alakazam.png,ok
Machamp,Machamp,machamp,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\machamp.png,ok
Victreebel,Victreebel,victreebel,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\victreebel.png,ok
Tentacruel,Tentacruel,tentacruel,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\tentacruel.png,ok
Golem,Golem,golem,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\golem.png,ok
Golem  Alolan Golem,Golem (Alolan Golem),golem-alolan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\golem-alolan.png,ok
Rapidash,Rapidash,rapidash,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\rapidash.png,ok
Rapidash  Galarian Rapidash,Rapidash (Galarian Rapidash),rapidash-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\rapidash-galarian.png,ok
Slowbro,Slowbro,slowbro,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\slowbro.png,ok
Slowbro  Galarian Slowbro,Slowbro (Galarian Slowbro),slowbro-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\slowbro-galarian.png,ok
Farfetch'd,Farfetch'd,farfetchd,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\farfetchd.png,ok
Farfetch'd  Galarian Farfetch'd,Farfetch'd (Galarian Farfetch'd),farfetchd-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\farfetchd-galarian.png,ok
Dodrio,Dodrio,dodrio,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\dodrio.png,ok
Dewgong,Dewgong,dewgong,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\dewgong.png,ok
Muk,Muk,muk,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\muk.png,ok
Muk  Alolan Muk,Muk (Alolan Muk),muk-alolan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\muk-alolan.png,ok
Cloyster,Cloyster,cloyster,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\cloyster.png,ok
Gengar,Gengar,gengar,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\gengar.png,ok
Hypno,Hypno,hypno,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\hypno.png,ok
Kingler,Kingler,kingler,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\kingler.png,ok
Electrode,Electrode,electrode,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\electrode.png,ok
Electrode  Hisuian Electrode,Electrode (Hisuian Electrode),electrode-hisuian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\electrode-hisuian.png,ok
Exeggutor,Exeggutor,exeggutor,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\exeggutor.png,ok
Exeggutor  Alolan Exeggutor,Exeggutor (Alolan Exeggutor),exeggutor-alolan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\exeggutor-alolan.png,ok
Marowak,Marowak,marowak,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\marowak.png,ok
Marowak  Alolan Marowak,Marowak (Alolan Marowak),marowak-alolan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\marowak-alolan.png,ok
Hitmonlee,Hitmonlee,hitmonlee,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\hitmonlee.png,ok
Hitmonchan,Hitmonchan,hitmonchan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\hitmonchan.png,ok
Weezing,Weezing,weezing,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\weezing.png,ok
Weezing  Galarian Weezing,Weezing (Galarian Weezing),weezing-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\weezing-galarian.png,ok
Kangaskhan,Kangaskhan,kangaskhan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\kangaskhan.png,ok
Seaking,Seaking,seaking,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\seaking.png,ok
Starmie,Starmie,starmie,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\starmie.png,ok
Mr. Mime,Mr. Mime,mr-mime,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\mr-mime.png,ok
Mr. Mime  Galarian Mr. Mime,Mr. Mime (Galarian Mr. Mime),mr-mime-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\mr-mime-galarian.png,ok
Jynx,Jynx,jynx,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\jynx.png,ok
Pinsir,Pinsir,pinsir,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\pinsir.png,ok
Tauros,Tauros,tauros,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\tauros.png,ok
Tauros  Combat Breed,Tauros (Combat Breed),tauros-paldean-combat,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\tauros-paldean-combat.png,ok
Tauros  Blaze Breed,Tauros (Blaze Breed),tauros-blaze,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\tauros-blaze.png,ok
Tauros  Aqua Breed,Tauros (Aqua Breed),tauros-aqua,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\tauros-aqua.png,ok
Gyarados,Gyarados,gyarados,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\gyarados.png,ok
Lapras,Lapras,lapras,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\lapras.png,ok
Ditto,Ditto,ditto,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\ditto.png,ok
Eevee,Eevee,eevee,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\eevee.png,ok
Vaporeon,Vaporeon,vaporeon,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\vaporeon.png,ok
Jolteon,Jolteon,jolteon,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\jolteon.png,ok
Flareon,Flareon,flareon,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\flareon.png,ok
Omastar,Omastar,omastar,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\omastar.png,ok
Kabutops,Kabutops,kabutops,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\kabutops.png,ok
Aerodactyl,Aerodactyl,aerodactyl,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\aerodactyl.png,ok
Snorlax,Snorlax,snorlax,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\snorlax.png,ok
Articuno,Articuno,articuno,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\articuno.png,ok
Articuno  Galarian Articuno,Articuno (Galarian Articuno),articuno-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\articuno-galarian.png,ok
Zapdos,Zapdos,zapdos,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\zapdos.png,ok
Zapdos  Galarian Zapdos,Zapdos (Galarian Zapdos),zapdos-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\zapdos-galarian.png,ok
Moltres,Moltres,moltres,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\moltres.png,ok
Moltres  Galarian Moltres,Moltres (Galarian Moltres),moltres-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\moltres-galarian.png,ok
Dragonite,Dragonite,dragonite,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\dragonite.png,ok
Mewtwo,Mewtwo,mewtwo,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\mewtwo.png,ok
Mew,Mew,mew,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\mew.png,ok
Meganium,Meganium,meganium,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\meganium.png,ok
Typhlosion,Typhlosion,typhlosion,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\typhlosion.png,ok
Typhlosion  Hisuian Typhlosion,Typhlosion (Hisuian Typhlosion),typhlosion-hisuian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\typhlosion-hisuian.png,ok
Feraligatr,Feraligatr,feraligatr,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\feraligatr.png,ok
Furret,Furret,furret,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\furret.png,ok
Noctowl,Noctowl,noctowl,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\noctowl.png,ok
Ledian,Ledian,ledian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\ledian.png,ok
Ariados,Ariados,ariados,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\ariados.png,ok
Crobat,Crobat,crobat,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\crobat.png,ok
Lanturn,Lanturn,lanturn,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\lanturn.png,ok
Xatu,Xatu,xatu,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\xatu.png,ok
Ampharos,Ampharos,ampharos,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\ampharos.png,ok
Bellossom,Bellossom,bellossom,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\bellossom.png,ok
Azumarill,Azumarill,azumarill,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\azumarill.png,ok
Sudowoodo,Sudowoodo,sudowoodo,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\sudowoodo.png,ok
Politoed,Politoed,politoed,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\politoed.png,ok
Jumpluff,Jumpluff,jumpluff,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\jumpluff.png,ok
Sunflora,Sunflora,sunflora,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\sunflora.png,ok
Quagsire,Quagsire,quagsire,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\quagsire.png,ok
Espeon,Espeon,espeon,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\espeon.png,ok
Umbreon,Umbreon,umbreon,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\umbreon.png,ok
Slowking,Slowking,slowking,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\slowking.png,ok
Slowking  Galarian Slowking,Slowking (Galarian Slowking),slowking-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\slowking-galarian.png,ok
Unown,Unown,unown,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\unown.png,ok
Wobbuffet,Wobbuffet,wobbuffet,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\wobbuffet.png,ok
Forretress,Forretress,forretress,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\forretress.png,ok
Steelix,Steelix,steelix,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\steelix.png,ok
Granbull,Granbull,granbull,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\granbull.png,ok
Qwilfish,Qwilfish,qwilfish,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\qwilfish.png,ok
Qwilfish  Hisuian Qwilfish,Qwilfish (Hisuian Qwilfish),qwilfish-hisuian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\qwilfish-hisuian.png,ok
Scizor,Scizor,scizor,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\scizor.png,ok
Shuckle,Shuckle,shuckle,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\shuckle.png,ok
Heracross,Heracross,heracross,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\heracross.png,ok
Magcargo,Magcargo,magcargo,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\magcargo.png,ok
Corsola,Corsola,corsola,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\corsola.png,ok
Corsola  Galarian Corsola,Corsola (Galarian Corsola),corsola-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\corsola-galarian.png,ok
Octillery,Octillery,octillery,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\octillery.png,ok
Delibird,Delibird,delibird,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\delibird.png,ok
Mantine,Mantine,mantine,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\mantine.png,ok
Skarmory,Skarmory,skarmory,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\skarmory.png,ok
Houndoom,Houndoom,houndoom,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\houndoom.png,ok
Kingdra,Kingdra,kingdra,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\kingdra.png,ok
Donphan,Donphan,donphan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\donphan.png,ok
Smeargle,Smeargle,smeargle,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\smeargle.png,ok
Hitmontop,Hitmontop,hitmontop,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\hitmontop.png,ok
Miltank,Miltank,miltank,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\miltank.png,ok
Blissey,Blissey,blissey,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\blissey.png,ok
Raikou,Raikou,raikou,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\raikou.png,ok
Entei,Entei,entei,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\entei.png,ok
Suicune,Suicune,suicune,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\suicune.png,ok
Tyranitar,Tyranitar,tyranitar,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\tyranitar.png,ok
Lugia,Lugia,lugia,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\lugia.png,ok
Ho-oh,Ho-oh,ho-oh,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\ho-oh.png,ok
Celebi,Celebi,celebi,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\celebi.png,ok
Sceptile,Sceptile,sceptile,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\sceptile.png,ok
Blaziken,Blaziken,blaziken,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\blaziken.png,ok
Swampert,Swampert,swampert,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\swampert.png,ok
Mightyena,Mightyena,mightyena,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\mightyena.png,ok
Linoone,Linoone,linoone,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\linoone.png,ok
Linoone  Galarian Linoone,Linoone (Galarian Linoone),linoone-galarian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\linoone-galarian.png,ok
Beautifly,Beautifly,beautifly,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\beautifly.png,ok
Dustox,Dustox,dustox,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\dustox.png,ok
Ludicolo,Ludicolo,ludicolo,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\ludicolo.png,ok
Shiftry,Shiftry,shiftry,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\shiftry.png,ok
Swellow,Swellow,swellow,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\swellow.png,ok
Pelipper,Pelipper,pelipper,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\pelipper.png,ok
Gardevoir,Gardevoir,gardevoir,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\gardevoir.png,ok
Masquerain,Masquerain,masquerain,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\masquerain.png,ok
Breloom,Breloom,breloom,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\breloom.png,ok
Slaking,Slaking,slaking,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\slaking.png,ok
Ninjask,Ninjask,ninjask,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\ninjask.png,ok
Shedinja,Shedinja,shedinja,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\shedinja.png,ok
Exploud,Exploud,exploud,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\exploud.png,ok
Hariyama,Hariyama,hariyama,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\hariyama.png,ok
Delcatty,Delcatty,delcatty,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\delcatty.png,ok
Sableye,Sableye,sableye,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\sableye.png,ok
Mawile,Mawile,mawile,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\mawile.png,ok
Aggron,Aggron,aggron,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\aggron.png,ok
Medicham,Medicham,medicham,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\medicham.png,ok
Manectric,Manectric,manectric,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\manectric.png,ok
Plusle,Plusle,plusle,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\plusle.png,ok
Minun,Minun,minun,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\minun.png,ok
Volbeat,Volbeat,volbeat,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\volbeat.png,ok
Illumise,Illumise,illumise,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\illumise.png,ok
Swalot,Swalot,swalot,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\swalot.png,ok
Sharpedo,Sharpedo,sharpedo,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\sharpedo.png,ok
Wailord,Wailord,wailord,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\wailord.png,ok
Camerupt,Camerupt,camerupt,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\camerupt.png,ok
Torkoal,Torkoal,torkoal,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\torkoal.png,ok
Grumpig,Grumpig,grumpig,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\grumpig.png,ok
Spinda,Spinda,spinda,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\spinda.png,ok
Flygon,Flygon,flygon,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\flygon.png,ok
Cacturne,Cacturne,cacturne,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\cacturne.png,ok
Altaria,Altaria,altaria,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\altaria.png,ok
Zangoose,Zangoose,zangoose,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\zangoose.png,ok
Seviper,Seviper,seviper,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\seviper.png,ok
Lunatone,Lunatone,lunatone,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\lunatone.png,ok
Solrock,Solrock,solrock,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\solrock.png,ok
Whiscash,Whiscash,whiscash,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\whiscash.png,ok
Crawdaunt,Crawdaunt,crawdaunt,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\crawdaunt.png,ok
Claydol,Claydol,claydol,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\claydol.png,ok
Cradily,Cradily,cradily,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\cradily.png,ok
Armaldo,Armaldo,armaldo,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\armaldo.png,ok
Milotic,Milotic,milotic,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\milotic.png,ok
Castform,Castform,castform,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\castform.png,ok
Kecleon,Kecleon,kecleon,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\kecleon.png,ok
Banette,Banette,banette,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\banette.png,ok
Tropius,Tropius,tropius,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\tropius.png,ok
